"lang","age","corpus","C_count","V_count","CP","Mad_syl_comp","Mad_C","Mad_VQ"
"Tsimane",36.5333333333333,"Tsimane",25,18,0.544303797468354,"Moderate","Average","Average"
"Tsimane",39.0666666666667,"Tsimane",25,18,0.447368421052632,"Moderate","Average","Average"
"Tsimane",32.5333333333333,"Tsimane",25,18,0.358208955223881,"Moderate","Average","Average"
"Tsimane",30.5666666666667,"Tsimane",25,18,0.26,"Moderate","Average","Average"
"Tsimane",19.7333333333333,"Tsimane",25,18,0.188679245283019,"Moderate","Average","Average"
"Tsimane",37,"Tsimane",25,18,0.439024390243902,"Moderate","Average","Average"
"Tsimane",24.3666666666667,"Tsimane",25,18,0.469879518072289,"Moderate","Average","Average"
"Tsimane",15.4666666666667,"Tsimane",25,18,0.354838709677419,"Moderate","Average","Average"
"Tsimane",33.0333333333333,"Tsimane",25,18,0.420289855072464,"Moderate","Average","Average"
"Tsimane",30.8333333333333,"Tsimane",25,18,0.444444444444444,"Moderate","Average","Average"
"Tsimane",24.6333333333333,"Tsimane",25,18,0.306666666666667,"Moderate","Average","Average"
"Tsimane",20.0333333333333,"Tsimane",25,18,0.280701754385965,"Moderate","Average","Average"
"Tsimane",15.4333333333333,"Tsimane",25,18,0.261538461538462,"Moderate","Average","Average"
"Tsimane",18.3333333333333,"Tsimane",25,18,0.220779220779221,"Moderate","Average","Average"
"Tsimane",28.3333333333333,"Tsimane",25,18,0.468085106382979,"Moderate","Average","Average"
"Tsimane",21.7666666666667,"Tsimane",25,18,0.480769230769231,"Moderate","Average","Average"
"Tsimane",8.2,"Tsimane",25,18,0.307692307692308,"Moderate","Average","Average"
"Ughele",12,"Solomon",18,5,0.403225806451613,"Low","Moderately Small","Average"
"Yélî",7.9,"Yélî",56,38,0.318181818181818,"Low","Large","Large"
"Yélî",9,"Yélî",56,38,0.549450549450549,"Low","Large","Large"
"Yélî",12.6,"Yélî",56,38,0.35,"Low","Large","Large"
"Yélî",13.1,"Yélî",56,38,0.450704225352113,"Low","Large","Large"
"Yélî",13.7,"Yélî",56,38,0.474576271186441,"Low","Large","Large"
"Yélî",14.5,"Yélî",56,38,0.351851851851852,"Low","Large","Large"
"Yélî",15.1,"Yélî",56,38,0.448717948717949,"Low","Large","Large"
"Yélî",15.5,"Yélî",56,38,0.672727272727273,"Low","Large","Large"
"Yélî",16.2,"Yélî",56,38,0.513513513513513,"Low","Large","Large"
"Yélî",16.6,"Yélî",56,38,0.416666666666667,"Low","Large","Large"
"Yélî",20.2,"Yélî",56,38,0.511111111111111,"Low","Large","Large"
"Yélî",23.5,"Yélî",56,38,0.543478260869565,"Low","Large","Large"
"Yélî",26.1,"Yélî",56,38,0.73015873015873,"Low","Large","Large"
"Yélî",26.3,"Yélî",56,38,0.72,"Low","Large","Large"
"Yélî",9.2,"Yélî",56,38,0.378048780487805,"Low","Large","Large"
"Yélî",29.1,"Yélî",56,38,0.626086956521739,"Low","Large","Large"
"Yélî",32.5,"Yélî",56,38,0.632478632478632,"Low","Large","Large"
"Yélî",34.9,"Yélî",56,38,0.5125,"Low","Large","Large"
"Yélî",37.6,"Yélî",56,38,0.596638655462185,"Low","Large","Large"
"Yélî",27.6,"Yélî",56,38,0.553846153846154,"Low","Large","Large"
