ChildID;Gender;Age in months;CR;CR Adults;Language;corpus;Syllable complexity;C_count;V_count;Multinlingualism_likelihood
F10Casillas-Yeli;M;17;0,369369369;;Yélî;Casillas-Yeli;Low;56;38;N
F11Casillas-Yeli;F;20;0,395348837;;Yélî;Casillas-Yeli;Low;56;38;N
5D71244F00003329;F;20,2;0,511111111;;Yélî;Yélî;Low;56;38;N
5D704A6D00003329;F;23,5;0,543478261;;Yélî;Yélî;Low;56;38;N
F31Casillas-Yeli;F;26;0,61627907;;Yélî;Casillas-Yeli;Low;56;38;N
5D7121C00000332E;M;26,1;0,73015873;;Yélî;Yélî;Low;56;38;N
5D711C0500002028;M;26,3;0,72;;Yélî;Yélî;Low;56;38;N
5D71269300003329;F;27,6;0,553846154;;Yélî;Yélî;Low;56;38;N
5D7126C200002028;M;29,1;0,626086957;;Yélî;Yélî;Low;56;38;N
5D7122FF0000332E;F;32,5;0,632478632;;Yélî;Yélî;Low;56;38;N
5D711B88000024F0;F;34,9;0,5125;;Yélî;Yélî;Low;56;38;N
F13Casillas-Yeli;M;36;0,577777778;;Yélî;Casillas-Yeli;Low;56;38;N
5D7053E00000332C;F;37,6;0,596638655;;Yélî;Yélî;Low;56;38;N
5D71241F0000332F;M;45,9;0,634146341;;Yélî;Yélî;Low;56;38;N
5D7125C90000332E;M;52,2;0,748091603;;Yélî;Yélî;Low;56;38;N
5D7054700000332E;M;52,9;0,632653061;;Yélî;Yélî;Low;56;38;N
5D7122C60000332F;M;54;0,606382979;;Yélî;Yélî;Low;56;38;N
5D7126430000332A;F;57,3;0,68852459;;Yélî;Yélî;Low;56;38;N
5D71260800003330;M;63,2;0,784313725;;Yélî;Yélî;Low;56;38;N
5D711D780000332D;F;63,3;0,58974359;;Yélî;Yélî;Low;56;38;N
5D704B7D0000332F;M;67,1;0,657142857;;Yélî;Yélî;Low;56;38;N
5D71228300003330;M;67,4;0,784172662;;Yélî;Yélî;Low;56;38;N
5D7121000000332B;F;70,3;0,329268293;;Yélî;Yélî;Low;56;38;N
5D7124E40000332C;F;71,8;0,626760563;;Yélî;Yélî;Low;56;38;N
